"filename", "language", "nix", "JSON", "Markdown", "Docker", "JavaScript", "MS SQL", "HTML", "PostCSS", "comment", "blank", "total"
"/home/whitebow/Documents/dev/encheres-project/Dockerfile", "Docker", 0, 0, 0, -9, 0, 0, 0, 0, 0, -5, -14
"/home/whitebow/Documents/dev/encheres-project/README.md", "Markdown", 0, 0, -9, 0, 0, 0, 0, 0, 0, 0, -9
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/analyticsController.js", "JavaScript", 0, 0, 0, 0, -95, 0, 0, 0, -13, -19, -127
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/clientController.js", "JavaScript", 0, 0, 0, 0, -65, 0, 0, 0, -18, -20, -103
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/enchereController.js", "JavaScript", 0, 0, 0, 0, -86, 0, 0, 0, -20, -25, -131
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/imageController.js", "JavaScript", 0, 0, 0, 0, -48, 0, 0, 0, -14, -15, -77
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/lotController.js", "JavaScript", 0, 0, 0, 0, -115, 0, 0, 0, -30, -37, -182
"/home/whitebow/Documents/dev/encheres-project/backend/controllers/participationController.js", "JavaScript", 0, 0, 0, 0, -123, 0, 0, 0, -22, -30, -175
"/home/whitebow/Documents/dev/encheres-project/backend/db.js", "JavaScript", 0, 0, 0, 0, -158, 0, 0, 0, -11, -19, -188
"/home/whitebow/Documents/dev/encheres-project/backend/middleware/asyncHandler.js", "JavaScript", 0, 0, 0, 0, -4, 0, 0, 0, -3, -1, -8
"/home/whitebow/Documents/dev/encheres-project/backend/middleware/errorHandler.js", "JavaScript", 0, 0, 0, 0, -8, 0, 0, 0, -3, -1, -12
"/home/whitebow/Documents/dev/encheres-project/backend/middleware/upload.js", "JavaScript", 0, 0, 0, 0, -26, 0, 0, 0, -1, -3, -30
"/home/whitebow/Documents/dev/encheres-project/backend/package-lock.json", "JSON", 0, -1564, 0, 0, 0, 0, 0, 0, 0, -1, -1565
"/home/whitebow/Documents/dev/encheres-project/backend/package.json", "JSON", 0, -31, 0, 0, 0, 0, 0, 0, 0, -1, -32
"/home/whitebow/Documents/dev/encheres-project/backend/public/asset-manifest.json", "JSON", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"/home/whitebow/Documents/dev/encheres-project/backend/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"/home/whitebow/Documents/dev/encheres-project/backend/public/manifest.json", "JSON", 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"/home/whitebow/Documents/dev/encheres-project/backend/public/static/css/main.e8dbc284.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, -1, -1, 0, -2
"/home/whitebow/Documents/dev/encheres-project/backend/public/static/js/239.f250c1ac.chunk.js", "JavaScript", 0, 0, 0, 0, -1, 0, 0, 0, -2, 0, -3
